"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2003-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","108,573",""
"2004-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","109,175",""
"2005-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","111,451",""
"2006-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","113,952",""
"2007-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","115,645",""
"2008-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","119,741",""
"2009-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","122,215",""
"2010-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","123,078",""
"2011-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","128,100",""
"2012-01-01T00:00:00","Belgium","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","120,362",""
"2003-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","12,796",""
"2004-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","11,284",""
"2005-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","10,623",""
"2006-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","8,766",""
"2007-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","8,696",""
"2008-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","8,538",""
"2009-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","9,229",""
"2010-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","9,051",""
"2011-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","7,419",""
"2012-01-01T00:00:00","Bulgaria","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","7,306",""
"2003-01-01T00:00:00","Czech Republic","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","22,763",""
"2004-01-01T00:00:00","Czech Republic","Number","Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person","24,025",""
