"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2003-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","63,994",""
"2004-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","57,484",""
"2005-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","56,978",""
"2006-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","63,615",""
"2007-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","62,964",""
"2008-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","64,045",""
"2009-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","69,446",""
"2010-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","68,548",""
"2011-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","75,310",""
"2012-01-01T00:00:00","Belgium","Number","Burglary of private residential premises","80,708",""
"2003-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","28,210",""
"2004-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","25,565",""
"2005-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","22,379",""
"2006-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","23,460",""
"2007-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","22,208",""
"2008-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","19,980",""
"2009-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","23,682",""
"2010-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","24,005",""
"2011-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","20,272",""
"2012-01-01T00:00:00","Bulgaria","Number","Burglary of private residential premises","16,781",""
"2003-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","12,164",""
"2004-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","11,670",""
"2005-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","10,361",""
"2006-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","9,603",""
"2007-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","9,163",""
"2008-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","9,111",""
"2009-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","9,616",""
"2010-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","10,091",""
"2011-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","9,568",""
"2012-01-01T00:00:00","Czech Republic","Number","Burglary of private residential premises","9,718",""
