"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2003-01-01T00:00:00","Belgium","Number","Total","1,007,783",""
"2004-01-01T00:00:00","Belgium","Number","Total","1,013,674",""
"2005-01-01T00:00:00","Belgium","Number","Total","999,396",""
"2006-01-01T00:00:00","Belgium","Number","Total","1,022,813",""
"2007-01-01T00:00:00","Belgium","Number","Total","1,034,430",""
"2008-01-01T00:00:00","Belgium","Number","Total","1,043,628",""
"2009-01-01T00:00:00","Belgium","Number","Total","1,067,295",""
"2010-01-01T00:00:00","Belgium","Number","Total","1,072,011",""
"2011-01-01T00:00:00","Belgium","Number","Total","1,110,972",""
"2012-01-01T00:00:00","Belgium","Number","Total","1,073,773",""
"2003-01-01T00:00:00","Bulgaria","Number","Total","143,921",""
"2004-01-01T00:00:00","Bulgaria","Number","Total","142,093",""
"2005-01-01T00:00:00","Bulgaria","Number","Total","137,800",""
"2006-01-01T00:00:00","Bulgaria","Number","Total","136,410",""
"2007-01-01T00:00:00","Bulgaria","Number","Total","134,685",""
"2008-01-01T00:00:00","Bulgaria","Number","Total","126,673",""
"2009-01-01T00:00:00","Bulgaria","Number","Total","138,105",""
"2010-01-01T00:00:00","Bulgaria","Number","Total","147,025",""
"2011-01-01T00:00:00","Bulgaria","Number","Total","128,602",""
"2012-01-01T00:00:00","Bulgaria","Number","Total","120,558",""
"2003-01-01T00:00:00","Czech Republic","Number","Total","357,740",""
"2004-01-01T00:00:00","Czech Republic","Number","Total","351,629",""
"2005-01-01T00:00:00","Czech Republic","Number","Total","344,060",""
"2006-01-01T00:00:00","Czech Republic","Number","Total","336,446",""
"2007-01-01T00:00:00","Czech Republic","Number","Total","357,391",""
"2008-01-01T00:00:00","Czech Republic","Number","Total","343,799",""
"2009-01-01T00:00:00","Czech Republic","Number","Total","332,829",""
"2010-01-01T00:00:00","Czech Republic","Number","Total","313,387",""
"2011-01-01T00:00:00","Czech Republic","Number","Total","317,177",""
"2012-01-01T00:00:00","Czech Republic","Number","Total","304,528",""
"2003-01-01T00:00:00","Denmark","Number","Total","486,174",""
"2004-01-01T00:00:00","Denmark","Number","Total","474,419",""
"2005-01-01T00:00:00","Denmark","Number","Total","432,704",""
"2006-01-01T00:00:00","Denmark","Number","Total","425,093",""
"2007-01-01T00:00:00","Denmark","Number","Total","445,271",""
"2008-01-01T00:00:00","Denmark","Number","Total","476,953",""
"2009-01-01T00:00:00","Denmark","Number","Total","491,792",""
"2010-01-01T00:00:00","Denmark","Number","Total","471,088",""
"2011-01-01T00:00:00","Denmark","Number","Total","466,765",""
"2012-01-01T00:00:00","Denmark","Number","Total","440,772",""
"2003-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,572,135",""
"2004-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,633,156",""
"2005-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,391,715",""
"2006-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,304,223",""
"2007-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,284,661",""
"2008-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,114,128",""
"2009-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","6,054,330",""
"2010-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","5,933,278",""
"2011-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","5,990,679",""
"2012-01-01T00:00:00","Germany (until 1990 former territory of the FRG)","Number","Total","5,997,040",""
"2003-01-01T00:00:00","Estonia","Number","Total","53,595",""
"2004-01-01T00:00:00","Estonia","Number","Total","53,048",""
"2005-01-01T00:00:00","Estonia","Number","Total","52,916",""
"2006-01-01T00:00:00","Estonia","Number","Total","51,834",""
"2007-01-01T00:00:00","Estonia","Number","Total","50,375",""
"2008-01-01T00:00:00","Estonia","Number","Total","50,977",""
"2009-01-01T00:00:00","Estonia","Number","Total","48,359",""
"2010-01-01T00:00:00","Estonia","Number","Total","48,340",""
"2011-01-01T00:00:00","Estonia","Number","Total","42,567",""
"2012-01-01T00:00:00","Estonia","Number","Total","40,816",""
"2003-01-01T00:00:00","Ireland","Number","Total","103,462",""
"2004-01-01T00:00:00","Ireland","Number","Total","99,244",""
"2005-01-01T00:00:00","Ireland","Number","Total","102,206",""
"2006-01-01T00:00:00","Ireland","Number","Total","103,178",""
"2007-01-01T00:00:00","Ireland","Number","Total",":",""
"2008-01-01T00:00:00","Ireland","Number","Total",":",""
"2009-01-01T00:00:00","Ireland","Number","Total",":",""
"2010-01-01T00:00:00","Ireland","Number","Total",":",""
"2011-01-01T00:00:00","Ireland","Number","Total",":",""
"2012-01-01T00:00:00","Ireland","Number","Total",":",""
"2003-01-01T00:00:00","Greece","Number","Total","441,839",""
"2004-01-01T00:00:00","Greece","Number","Total","405,627",""
"2005-01-01T00:00:00","Greece","Number","Total","455,952",""
"2006-01-01T00:00:00","Greece","Number","Total","463,750",""
"2007-01-01T00:00:00","Greece","Number","Total","423,422",""
"2008-01-01T00:00:00","Greece","Number","Total","417,391",""
"2009-01-01T00:00:00","Greece","Number","Total","386,893",""
"2010-01-01T00:00:00","Greece","Number","Total","333,988",""
"2011-01-01T00:00:00","Greece","Number","Total","194,031",""
"2012-01-01T00:00:00","Greece","Number","Total","194,144",""
"2003-01-01T00:00:00","Spain","Number","Total","2,144,155",""
"2004-01-01T00:00:00","Spain","Number","Total","2,141,295",""
"2005-01-01T00:00:00","Spain","Number","Total","2,230,906",""
"2006-01-01T00:00:00","Spain","Number","Total","2,267,114",""
"2007-01-01T00:00:00","Spain","Number","Total","2,309,859",""
"2008-01-01T00:00:00","Spain","Number","Total","2,396,890",""
"2009-01-01T00:00:00","Spain","Number","Total","2,339,203",""
"2010-01-01T00:00:00","Spain","Number","Total","2,297,484",""
"2011-01-01T00:00:00","Spain","Number","Total","2,285,525",""
"2012-01-01T00:00:00","Spain","Number","Total","2,268,867",""
"2003-01-01T00:00:00","France","Number","Total","3,974,694",""
"2004-01-01T00:00:00","France","Number","Total","3,825,442",""
"2005-01-01T00:00:00","France","Number","Total","3,775,838",""
"2006-01-01T00:00:00","France","Number","Total","3,725,588",""
"2007-01-01T00:00:00","France","Number","Total","3,589,293",""
"2008-01-01T00:00:00","France","Number","Total","3,558,329",""
"2009-01-01T00:00:00","France","Number","Total","3,521,256",""
"2010-01-01T00:00:00","France","Number","Total",":",""
"2011-01-01T00:00:00","France","Number","Total",":",""
"2012-01-01T00:00:00","France","Number","Total",":",""
"2003-01-01T00:00:00","France (metropolitan)","Number","Total","3,974,694",""
"2004-01-01T00:00:00","France (metropolitan)","Number","Total","3,825,442",""
"2005-01-01T00:00:00","France (metropolitan)","Number","Total","3,775,838",""
"2006-01-01T00:00:00","France (metropolitan)","Number","Total","3,725,588",""
"2007-01-01T00:00:00","France (metropolitan)","Number","Total","3,589,293",""
"2008-01-01T00:00:00","France (metropolitan)","Number","Total","3,558,329",""
"2009-01-01T00:00:00","France (metropolitan)","Number","Total","3,521,256",""
"2010-01-01T00:00:00","France (metropolitan)","Number","Total",":",""
"2011-01-01T00:00:00","France (metropolitan)","Number","Total",":",""
"2012-01-01T00:00:00","France (metropolitan)","Number","Total",":",""
"2003-01-01T00:00:00","Croatia","Number","Total","80,377",""
"2004-01-01T00:00:00","Croatia","Number","Total","85,416",""
"2005-01-01T00:00:00","Croatia","Number","Total","79,946",""
"2006-01-01T00:00:00","Croatia","Number","Total","81,049",""
"2007-01-01T00:00:00","Croatia","Number","Total","75,857",""
"2008-01-01T00:00:00","Croatia","Number","Total","74,571",""
"2009-01-01T00:00:00","Croatia","Number","Total","73,497",""
"2010-01-01T00:00:00","Croatia","Number","Total","73,328",""
"2011-01-01T00:00:00","Croatia","Number","Total","75,620",""
"2012-01-01T00:00:00","Croatia","Number","Total","72,171",""
"2003-01-01T00:00:00","Italy","Number","Total","2,456,887",""
"2004-01-01T00:00:00","Italy","Number","Total","2,417,716",""
"2005-01-01T00:00:00","Italy","Number","Total","2,579,124",""
"2006-01-01T00:00:00","Italy","Number","Total","2,771,490",""
"2007-01-01T00:00:00","Italy","Number","Total","2,933,146",""
"2008-01-01T00:00:00","Italy","Number","Total","2,709,888",""
"2009-01-01T00:00:00","Italy","Number","Total","2,629,831",""
"2010-01-01T00:00:00","Italy","Number","Total","2,621,019",""
"2011-01-01T00:00:00","Italy","Number","Total","2,763,012",""
"2012-01-01T00:00:00","Italy","Number","Total","2,818,834",""
"2003-01-01T00:00:00","Cyprus","Number","Total","7,256",""
"2004-01-01T00:00:00","Cyprus","Number","Total","7,615",""
"2005-01-01T00:00:00","Cyprus","Number","Total","7,212",""
"2006-01-01T00:00:00","Cyprus","Number","Total","7,917",""
"2007-01-01T00:00:00","Cyprus","Number","Total","7,556",""
"2008-01-01T00:00:00","Cyprus","Number","Total","7,341",""
"2009-01-01T00:00:00","Cyprus","Number","Total","7,104",""
"2010-01-01T00:00:00","Cyprus","Number","Total","8,393",""
"2011-01-01T00:00:00","Cyprus","Number","Total","8,480",""
"2012-01-01T00:00:00","Cyprus","Number","Total","7,973",""
"2003-01-01T00:00:00","Latvia","Number","Total","51,773",""
"2004-01-01T00:00:00","Latvia","Number","Total","62,173",""
"2005-01-01T00:00:00","Latvia","Number","Total","51,435",""
"2006-01-01T00:00:00","Latvia","Number","Total","62,328",""
"2007-01-01T00:00:00","Latvia","Number","Total","55,620",""
"2008-01-01T00:00:00","Latvia","Number","Total","57,475",""
"2009-01-01T00:00:00","Latvia","Number","Total","56,748",""
"2010-01-01T00:00:00","Latvia","Number","Total","51,108",""
"2011-01-01T00:00:00","Latvia","Number","Total","51,582",""
"2012-01-01T00:00:00","Latvia","Number","Total","49,905",""
"2003-01-01T00:00:00","Lithuania","Number","Total","79,072",""
"2004-01-01T00:00:00","Lithuania","Number","Total","84,136",""
"2005-01-01T00:00:00","Lithuania","Number","Total","82,074",""
"2006-01-01T00:00:00","Lithuania","Number","Total","75,474",""
"2007-01-01T00:00:00","Lithuania","Number","Total","67,990",""
"2008-01-01T00:00:00","Lithuania","Number","Total","71,972",""
"2009-01-01T00:00:00","Lithuania","Number","Total","76,291",""
"2010-01-01T00:00:00","Lithuania","Number","Total","70,618",""
"2011-01-01T00:00:00","Lithuania","Number","Total","72,086",""
"2012-01-01T00:00:00","Lithuania","Number","Total","75,349",""
"2003-01-01T00:00:00","Luxembourg","Number","Total","26,163",""
"2004-01-01T00:00:00","Luxembourg","Number","Total","26,907",""
"2005-01-01T00:00:00","Luxembourg","Number","Total","25,321",""
"2006-01-01T00:00:00","Luxembourg","Number","Total","25,913",""
"2007-01-01T00:00:00","Luxembourg","Number","Total","28,252",""
"2008-01-01T00:00:00","Luxembourg","Number","Total","28,210",""
"2009-01-01T00:00:00","Luxembourg","Number","Total","32,378",""
"2010-01-01T00:00:00","Luxembourg","Number","Total","30,532",""
"2011-01-01T00:00:00","Luxembourg","Number","Total","35,702",""
"2012-01-01T00:00:00","Luxembourg","Number","Total","37,639",""
"2003-01-01T00:00:00","Hungary","Number","Total","413,343",""
"2004-01-01T00:00:00","Hungary","Number","Total","418,833",""
"2005-01-01T00:00:00","Hungary","Number","Total","436,522",""
"2006-01-01T00:00:00","Hungary","Number","Total","425,941",""
"2007-01-01T00:00:00","Hungary","Number","Total","426,914",""
"2008-01-01T00:00:00","Hungary","Number","Total","408,407",""
"2009-01-01T00:00:00","Hungary","Number","Total","394,034",""
"2010-01-01T00:00:00","Hungary","Number","Total","447,186",""
"2011-01-01T00:00:00","Hungary","Number","Total","451,371",""
"2012-01-01T00:00:00","Hungary","Number","Total","472,236",""
"2003-01-01T00:00:00","Malta","Number","Total","17,739",""
"2004-01-01T00:00:00","Malta","Number","Total","18,384",""
"2005-01-01T00:00:00","Malta","Number","Total","18,580",""
"2006-01-01T00:00:00","Malta","Number","Total","16,527",""
"2007-01-01T00:00:00","Malta","Number","Total","15,005",""
"2008-01-01T00:00:00","Malta","Number","Total","13,803",""
"2009-01-01T00:00:00","Malta","Number","Total","11,953",""
"2010-01-01T00:00:00","Malta","Number","Total","13,296",""
"2011-01-01T00:00:00","Malta","Number","Total","14,244",""
"2012-01-01T00:00:00","Malta","Number","Total","15,623",""
"2003-01-01T00:00:00","Netherlands","Number","Total","1,369,271",""
"2004-01-01T00:00:00","Netherlands","Number","Total","1,319,482",""
"2005-01-01T00:00:00","Netherlands","Number","Total","1,348,285",""
"2006-01-01T00:00:00","Netherlands","Number","Total","1,311,770",""
"2007-01-01T00:00:00","Netherlands","Number","Total","1,303,835",""
"2008-01-01T00:00:00","Netherlands","Number","Total","1,277,775",""
"2009-01-01T00:00:00","Netherlands","Number","Total","1,254,480",""
"2010-01-01T00:00:00","Netherlands","Number","Total","1,194,030",""
"2011-01-01T00:00:00","Netherlands","Number","Total","1,194,055",""
"2012-01-01T00:00:00","Netherlands","Number","Total","1,139,720",""
"2003-01-01T00:00:00","Austria","Number","Total","643,286",""
"2004-01-01T00:00:00","Austria","Number","Total","643,648",""
"2005-01-01T00:00:00","Austria","Number","Total","605,272",""
"2006-01-01T00:00:00","Austria","Number","Total","589,495",""
"2007-01-01T00:00:00","Austria","Number","Total","594,240",""
"2008-01-01T00:00:00","Austria","Number","Total","572,695",""
"2009-01-01T00:00:00","Austria","Number","Total","591,597",""
"2010-01-01T00:00:00","Austria","Number","Total","535,745",""
"2011-01-01T00:00:00","Austria","Number","Total","540,007",""
"2012-01-01T00:00:00","Austria","Number","Total","548,027",""
"2003-01-01T00:00:00","Poland","Number","Total","1,466,643",""
"2004-01-01T00:00:00","Poland","Number","Total","1,461,217",""
"2005-01-01T00:00:00","Poland","Number","Total","1,379,962",""
"2006-01-01T00:00:00","Poland","Number","Total","1,287,918",""
"2007-01-01T00:00:00","Poland","Number","Total","1,152,993",""
"2008-01-01T00:00:00","Poland","Number","Total","1,082,057",""
"2009-01-01T00:00:00","Poland","Number","Total","1,129,577",""
"2010-01-01T00:00:00","Poland","Number","Total","1,151,157",""
"2011-01-01T00:00:00","Poland","Number","Total","1,159,554",""
"2012-01-01T00:00:00","Poland","Number","Total","1,119,803",""
"2003-01-01T00:00:00","Portugal","Number","Total","417,383",""
"2004-01-01T00:00:00","Portugal","Number","Total","416,420",""
"2005-01-01T00:00:00","Portugal","Number","Total","392,714",""
"2006-01-01T00:00:00","Portugal","Number","Total","399,563",""
"2007-01-01T00:00:00","Portugal","Number","Total","398,575",""
"2008-01-01T00:00:00","Portugal","Number","Total","430,486",""
"2009-01-01T00:00:00","Portugal","Number","Total","426,040",""
"2010-01-01T00:00:00","Portugal","Number","Total","422,587",""
"2011-01-01T00:00:00","Portugal","Number","Total","413,702",""
"2012-01-01T00:00:00","Portugal","Number","Total","403,200",""
"2003-01-01T00:00:00","Romania","Number","Total","276,841",""
"2004-01-01T00:00:00","Romania","Number","Total","231,637",""
"2005-01-01T00:00:00","Romania","Number","Total","208,239",""
"2006-01-01T00:00:00","Romania","Number","Total","232,659",""
"2007-01-01T00:00:00","Romania","Number","Total","281,457",""
"2008-01-01T00:00:00","Romania","Number","Total","289,331",""
"2009-01-01T00:00:00","Romania","Number","Total","299,889",""
"2010-01-01T00:00:00","Romania","Number","Total","292,682",""
"2011-01-01T00:00:00","Romania","Number","Total","258,895",""
"2012-01-01T00:00:00","Romania","Number","Total","308,468",""
"2003-01-01T00:00:00","Slovenia","Number","Total","76,643",""
"2004-01-01T00:00:00","Slovenia","Number","Total","86,568",""
"2005-01-01T00:00:00","Slovenia","Number","Total","84,379",""
"2006-01-01T00:00:00","Slovenia","Number","Total","90,354",""
"2007-01-01T00:00:00","Slovenia","Number","Total","88,197",""
"2008-01-01T00:00:00","Slovenia","Number","Total","81,917",""
"2009-01-01T00:00:00","Slovenia","Number","Total","87,465",""
"2010-01-01T00:00:00","Slovenia","Number","Total","89,489",""
"2011-01-01T00:00:00","Slovenia","Number","Total","88,722",""
"2012-01-01T00:00:00","Slovenia","Number","Total","91,430",""
"2003-01-01T00:00:00","Slovakia","Number","Total","111,893",""
"2004-01-01T00:00:00","Slovakia","Number","Total","131,244",""
"2005-01-01T00:00:00","Slovakia","Number","Total","123,563",""
"2006-01-01T00:00:00","Slovakia","Number","Total","115,152",""
"2007-01-01T00:00:00","Slovakia","Number","Total","110,802",""
"2008-01-01T00:00:00","Slovakia","Number","Total","104,758",""
"2009-01-01T00:00:00","Slovakia","Number","Total","104,905",""
"2010-01-01T00:00:00","Slovakia","Number","Total","95,252",""
"2011-01-01T00:00:00","Slovakia","Number","Total","92,873",""
"2012-01-01T00:00:00","Slovakia","Number","Total","90,351",""
"2003-01-01T00:00:00","Finland","Number","Total","443,481",""
"2004-01-01T00:00:00","Finland","Number","Total","445,465",""
"2005-01-01T00:00:00","Finland","Number","Total","432,302",""
"2006-01-01T00:00:00","Finland","Number","Total","416,131",""
"2007-01-01T00:00:00","Finland","Number","Total","435,824",""
"2008-01-01T00:00:00","Finland","Number","Total","440,711",""
"2009-01-01T00:00:00","Finland","Number","Total","441,416",""
"2010-01-01T00:00:00","Finland","Number","Total","431,623",""
"2011-01-01T00:00:00","Finland","Number","Total","458,251",""
"2012-01-01T00:00:00","Finland","Number","Total","425,421",""
"2003-01-01T00:00:00","Sweden","Number","Total","1,255,371",""
"2004-01-01T00:00:00","Sweden","Number","Total","1,248,743",""
