type,"max(Value)","min(Value)"
co2,"24.824647","2.636157"
greenhousegases,"27037.800000","13.300000"
methane,"85893.900000","230.800000"
no2,"9.626855","1.256122"
o3,"82.523111","68.868364"
so2,"5.508826","0.658434"
