Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
37,Afghanistan,Shahrag,"34.1083333","64.3033371","2393.0","34.103333299999996","34.1133333","64.2983371","64.30833709999999","34.1083333","64.3033371","2393.0"
38,Afghanistan,Asmar,"35.0300000","71.3499985","934.0","35.025","35.035000000000004","71.3449985","71.3549985","35.03","71.3499985","934.0"
39,Afghanistan,"Sang-e Charak","35.8497222","66.4369431","1547.0","35.8447222","35.854722200000005","66.4319431","66.44194309999999","35.8497222","66.4369431","1547.0"
40,Afghanistan,Khash,"31.5291667","62.7924995","578.0","31.524166700000002","31.5341667","62.787499499999996","62.7974995","31.5291667","62.7924995","578.0"
41,Afghanistan,Achin,"34.1200000","70.6999969","997.0","34.114999999999995","34.125","70.6949969","70.7049969","34.12","70.6999969","997.0"
42,Afghanistan,"Jabal os Saraj","35.1183330","69.2377777","1575.0","35.113333","35.123333","69.2327777","69.24277769999999","35.118333","69.2377777","1575.0"
43,Afghanistan,Qarqin,"37.4127778","66.0472260","250.0","37.4077778","37.4177778","66.042226","66.05222599999999","37.4127778","66.047226","250.0"
44,Afghanistan,Mirabad,"30.4352778","61.8347206","499.0","30.430277800000002","30.4402778","61.829720599999995","61.8397206","30.4352778","61.8347206","499.0"
45,Afghanistan,"Zarghun Shahr","32.8472222","68.4458313","2114.0","32.842222199999995","32.8522222","68.4408313","68.45083129999999","32.8472222","68.4458313","2114.0"
46,Afghanistan,Sangin,"32.0733333","64.8338852","892.0","32.0683333","32.078333300000004","64.8288852","64.83888519999999","32.0733333","64.8338852","892.0"
47,Afghanistan,Panjab,"34.3875000","67.0233307","2707.0","34.3825","34.392500000000005","67.0183307","67.0283307","34.3875","67.0233307","2707.0"
48,Afghanistan,Uruzgan,"32.9200000","66.6299973","2010.0","32.915","32.925000000000004","66.6249973","66.6349973","32.92","66.6299973","2010.0"
49,Afghanistan,"Pul-i-Alam","33.9800000","69.0299988","1916.0","33.974999999999994","33.985","69.0249988","69.0349988","33.98","69.0299988","1916.0"
50,Afghanistan,Chiras,"35.4166667","65.9833298","2828.0","35.4116667","35.4216667","65.97832980000001","65.9883298","35.4166667","65.9833298","2828.0"
51,Afghanistan,"Hokumati Azraw","34.1700000","69.6399994","2278.0","34.165","34.175000000000004","69.6349994","69.64499939999999","34.17","69.6399994","2278.0"
52,Afghanistan,"Qareh Bagh","34.9405556","61.7775002","950.0","34.9355556","34.945555600000006","61.772500199999996","61.7825002","34.9405556","61.7775002","950.0"
