Country,value
Austria,8011566
Belgium,10251250
Bulgaria,8170172
Croatia,4426000
Cyprus,943287
"Czech Republic",10255063
Denmark,5339616
Estonia,1396985
Finland,5176209
France,60911057
Germany,82211508
Greece,10917482
Hungary,10210971
Ireland,3805174
Italy,56942108
Latvia,2367550
Lithuania,3499536
Luxembourg,436300
Malta,381363
Netherlands,15925513
Poland,38258629
Portugal,10289898
Romania,22442971
Slovenia,1988925
Spain,40263216
Sweden,8872109
"United Kingdom",58892514
